code,field,university,avg_pref_success,base_2013,base_2014,base_2015,base_2016,base_2017,base_2018,base_2019,base_2020,base_2021,base_2022,base_2023,base_2024,base_2025,base_2026
97,4,ΔΠΘ,4.0,12014.0,12422.0,13013.0,12491.0,11245.0,11052.0,9305.0,10600.0,9950.0,10728.0,9916.0,9764.0,9696.0,8940.0
98,2/4,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,5.0,10732.0,11678.0,11851.0,12375.0,12347.0,11801.0,10373.0,10450.0,10511.0,11875.0,11650.0,11425.0,11550.0,12400.0
99,2/4,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,5.0,10590.0,11676.0,11922.0,12206.0,12275.0,12437.0,11405.0,11875.0,11807.0,12950.0,13800.0,12375.0,10500.0,10325.0
101,1,ΕΚΠΑ,5.0,11196.0,11584.0,11542.0,11515.0,11472.0,10675.0,8793.0,7400.0,8293.0,9290.0,9400.0,9460.0,9130.0,8870.0
102,1,ΠΑΝ. ΠΑΤΡΩΝ,5.0,13229.0,13395.0,12801.0,13092.0,13152.0,11989.0,10504.0,9925.0,9517.0,10220.0,8920.0,9940.0,9360.0,9240.0
103,1,ΑΠΘ,5.0,10933.0,11346.0,11256.0,11275.0,11462.0,10536.0,8915.0,7375.0,8680.0,9100.0,9550.0,9150.0,9050.0,8975.0
104,1,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,4.0,13009.0,13453.0,12478.0,12934.0,13190.0,11868.0,10182.0,8625.0,9495.0,9450.0,9035.0,8700.0,8760.0,8700.0
105,1,ΕΚΠΑ,5.0,10981.0,11508.0,11208.0,11131.0,11506.0,10748.0,9019.0,7750.0,8636.0,8930.0,9260.0,8750.0,8860.0,8730.0
107,1,ΑΠΘ,5.0,10232.0,10787.0,10838.0,10726.0,10964.0,10282.0,8468.0,6950.0,8257.0,9055.0,9535.0,9400.0,8940.0,9005.0
109,1,ΕΚΠΑ,3.0,17314.0,17525.0,16680.0,16372.0,16448.0,16267.0,14677.0,14550.0,12847.0,13526.0,13012.0,12660.0,11304.0,11160.0
110,1,ΕΚΠΑ,2.0,16724.0,17122.0,16134.0,16000.0,16167.0,16231.0,15306.0,15150.0,14161.0,12422.0,12614.0,11958.0,11838.0,11660.0
111,1,ΑΠΘ,3.0,17375.0,17409.0,16468.0,16380.0,16386.0,15863.0,14431.0,13525.0,12495.0,13620.0,13994.0,11495.0,11127.0,12287.0
112,1,ΑΠΘ,3.0,16687.0,16754.0,15819.0,15851.0,15974.0,15853.0,14747.0,14450.0,13574.0,13625.0,14125.0,12575.0,12425.0,11225.0
113,1,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,4.0,15911.0,15913.0,14658.0,14895.0,14838.0,13644.0,11817.0,9825.0,9582.0,10096.0,10411.0,10346.0,9451.0,9362.0
114,1,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,4.0,14421.0,14948.0,13418.0,13851.0,14038.0,12707.0,11706.0,9525.0,9300.0,10276.0,10354.0,9458.0,9433.0,9070.0
