code,field,university,avg_pref_success,base_2019,base_2020,base_2021,base_2022,base_2023,base_2024,base_2025,base_2026
97,4,ΔΠΘ,4.0,9305.0,10600.0,9950.0,10728.0,9916.0,9764.0,9696.0,8940.0
98,2/4,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,5.0,10373.0,10450.0,10511.0,11875.0,11650.0,11425.0,11550.0,12400.0
99,2/4,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,5.0,11405.0,11875.0,11807.0,12950.0,13800.0,12375.0,10500.0,10325.0
101,1,ΕΚΠΑ,5.0,8793.0,7400.0,8293.0,9290.0,9400.0,9460.0,9130.0,8870.0
102,1,ΠΑΝ. ΠΑΤΡΩΝ,5.0,10504.0,9925.0,9517.0,10220.0,8920.0,9940.0,9360.0,9240.0
103,1,ΑΠΘ,5.0,8915.0,7375.0,8680.0,9100.0,9550.0,9150.0,9050.0,8975.0
104,1,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,4.0,10182.0,8625.0,9495.0,9450.0,9035.0,8700.0,8760.0,8700.0
105,1,ΕΚΠΑ,5.0,9019.0,7750.0,8636.0,8930.0,9260.0,8750.0,8860.0,8730.0
107,1,ΑΠΘ,5.0,8468.0,6950.0,8257.0,9055.0,9535.0,9400.0,8940.0,9005.0
109,1,ΕΚΠΑ,3.0,14677.0,14550.0,12847.0,13526.0,13012.0,12660.0,11304.0,11160.0
110,1,ΕΚΠΑ,2.0,15306.0,15150.0,14161.0,12422.0,12614.0,11958.0,11838.0,11660.0
111,1,ΑΠΘ,3.0,14431.0,13525.0,12495.0,13620.0,13994.0,11495.0,11127.0,12287.0
112,1,ΑΠΘ,3.0,14747.0,14450.0,13574.0,13625.0,14125.0,12575.0,12425.0,11225.0
113,1,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,4.0,11817.0,9825.0,9582.0,10096.0,10411.0,10346.0,9451.0,9362.0
114,1,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,4.0,11706.0,9525.0,9300.0,10276.0,10354.0,9458.0,9433.0,9070.0
115,1,ΠΑΝ. ΚΡΗΤΗΣ,4.0,10572.0,8525.0,8696.0,9118.0,9558.0,9308.0,9134.0,9052.0
116,1,ΠΑΝ. ΚΡΗΤΗΣ,4.0,10737.0,8750.0,10528.0,9125.0,9425.0,9175.0,9050.0,8975.0
117,1,ΕΚΠΑ,1.0,18013.0,18050.0,18157.0,17950.0,18125.0,18025.0,17875.0,17875.0
119,1,ΑΠΘ,1.0,17824.0,17825.0,17814.0,17150.0,17640.0,17340.0,17280.0,17260.0
120,1,ΑΠΘ,3.0,13333.0,12800.0,12909.0,13420.0,12330.0,11860.0,11580.0,11340.0
121,1,ΔΠΘ,3.0,17225.0,17250.0,17048.0,16500.0,16975.0,16650.0,16725.0,16700.0
122,1,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,5.0,9798.0,8650.0,8807.0,9619.0,9931.0,9220.0,9180.0,9040.0
123,1,ΕΚΠΑ,3.0,16166.0,16475.0,15427.0,14520.0,14770.0,14340.0,14430.0,14650.0
124,1/4,ΠΑΝΤΕΙΟ,4.0,14296.0,14375.0,13386.0,13150.0,13625.0,13125.0,13075.0,13125.0
125,1,ΠΑΝΤΕΙΟ,4.0,14682.0,15025.0,13240.0,12620.0,13120.0,12650.0,12760.0,12930.0
126,1,ΠΑΝΤΕΙΟ,3.0,15163.0,15625.0,15532.0,14320.0,15010.0,14260.0,13860.0,13640.0
127,1,ΕΚΠΑ,2.0,18633.0,18385.0,17832.0,17635.0,18320.0,17715.0,17355.0,16430.0
128,1/2/3/4,ΕΚΠΑ,2.0,15732.0,16000.0,16161.0,15750.0,16225.0,16100.0,16250.0,15950.0
129,1,ΑΠΘ,2.0,19312.0,19075.0,18427.0,16805.0,18585.0,18550.0,18150.0,17425.0
130,1/2/3/4,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,3.0,13812.0,13725.0,14268.0,13800.0,14450.0,14600.0,14575.0,14100.0
131,1,ΕΚΠΑ,3.0,8844.0,7100.0,10615.0,11430.0,12220.0,11820.0,11680.0,12390.0
132,1/2/3/4,ΠΑΝ. ΚΡΗΤΗΣ,4.0,13024.0,12850.0,13402.0,12675.0,13350.0,13625.0,13375.0,12875.0
133,1,ΑΠΘ,3.0,5580.0,5380.0,11133.0,11985.0,12265.0,12070.0,11715.0,12005.0
134,1/2/3/4,ΑΠΘ,3.0,14079.0,14275.0,14311.0,13625.0,14175.0,14175.0,13875.0,14175.0
135,1,ΕΚΠΑ,2.0,10403.0,6775.0,10989.0,11035.0,11985.0,11945.0,11850.0,11795.0
136,1/2/3/4,ΠΑΝ. ΠΑΤΡΩΝ,3.0,12680.0,12325.0,12487.0,12420.0,12940.0,13100.0,13000.0,12760.0
137,1,ΑΠΘ,2.0,11602.0,7375.0,10769.0,11200.0,11500.0,11970.0,11030.0,11750.0
138,1,ΠΑΝ. ΚΡΗΤΗΣ,5.0,9688.0,8400.0,8168.0,9135.0,9170.0,9185.0,9130.0,8895.0
139,1,ΑΠΘ,2.0,4016.0,6340.0,10783.0,11460.0,12500.0,12730.0,12080.0,11640.0
140,1/2/3/4,ΑΠΘ,3.0,15262.0,15275.0,15821.0,15450.0,16050.0,16100.0,15950.0,15800.0
142,1/2/3/4,ΔΠΘ,4.0,12667.0,11800.0,12635.0,12325.0,12925.0,13025.0,13000.0,12400.0
143,1/2/3/4,ΠΑΝ. ΑΙΓΑΙΟΥ,5.0,11872.0,10900.0,11529.0,11125.0,11925.0,12125.0,11875.0,10950.0
144,4,ΧΑΡΟΚΟΠΕΙΟ,4.0,10379.0,11100.0,11844.0,12148.0,12451.0,12552.0,12556.0,12613.0
145,1,ΙΟΝΙΟ ΠΑΝ/ΜΙΟ,5.0,9447.0,7475.0,9813.0,8420.0,8540.0,8400.0,8560.0,8400.0
146,1/2/3/4,ΕΚΠΑ,3.0,12602.0,11125.0,11128.0,10780.0,10760.0,10170.0,10550.0,10875.0
147,1,ΑΠΘ,3.0,15949.0,15415.0,14983.0,15950.0,16640.0,16040.0,16860.0,16840.0
148,1,ΕΚΠΑ,3.0,16845.0,16470.0,16305.0,15950.0,16370.0,15840.0,16110.0,16070.0
