code,field,university,avg_pref_success,diff_14_13,diff_15_14,diff_16_15,diff_17_16,diff_18_17,diff_19_18,diff_20_19,diff_21_20,diff_22_21,diff_23_22,diff_24_23,diff_25_24,diff_26_25
97,4,ΔΠΘ,4.0,408.0,591.0,-522.0,-1246.0,-193.0,-1747.0,1295.0,-650.0,778.0,-812.0,-152.0,-68.0,-756.0
98,2/4,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,5.0,946.0,173.0,524.0,-28.0,-546.0,-1428.0,77.0,61.0,1364.0,-225.0,-225.0,125.0,850.0
99,2/4,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,5.0,1086.0,246.0,284.0,69.0,162.0,-1032.0,470.0,-68.0,1143.0,850.0,-1425.0,-1875.0,-175.0
101,1,ΕΚΠΑ,5.0,388.0,-42.0,-27.0,-43.0,-797.0,-1882.0,-1393.0,893.0,997.0,110.0,60.0,-330.0,-260.0
102,1,ΠΑΝ. ΠΑΤΡΩΝ,5.0,166.0,-594.0,291.0,60.0,-1163.0,-1485.0,-579.0,-408.0,703.0,-1300.0,1020.0,-580.0,-120.0
103,1,ΑΠΘ,5.0,413.0,-90.0,19.0,187.0,-926.0,-1621.0,-1540.0,1305.0,420.0,450.0,-400.0,-100.0,-75.0
104,1,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,4.0,444.0,-975.0,456.0,256.0,-1322.0,-1686.0,-1557.0,870.0,-45.0,-415.0,-335.0,60.0,-60.0
105,1,ΕΚΠΑ,5.0,527.0,-300.0,-77.0,375.0,-758.0,-1729.0,-1269.0,886.0,294.0,330.0,-510.0,110.0,-130.0
107,1,ΑΠΘ,5.0,555.0,51.0,-112.0,238.0,-682.0,-1814.0,-1518.0,1307.0,798.0,480.0,-135.0,-460.0,65.0
109,1,ΕΚΠΑ,3.0,211.0,-845.0,-308.0,76.0,-181.0,-1590.0,-127.0,-1703.0,679.0,-514.0,-352.0,-1356.0,-144.0
110,1,ΕΚΠΑ,2.0,398.0,-988.0,-134.0,167.0,64.0,-925.0,-156.0,-989.0,-1739.0,192.0,-656.0,-120.0,-178.0
111,1,ΑΠΘ,3.0,34.0,-941.0,-88.0,6.0,-523.0,-1432.0,-906.0,-1030.0,1125.0,374.0,-2499.0,-368.0,1160.0
112,1,ΑΠΘ,3.0,67.0,-935.0,32.0,123.0,-121.0,-1106.0,-297.0,-876.0,51.0,500.0,-1550.0,-150.0,-1200.0
113,1,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,4.0,2.0,-1255.0,237.0,-57.0,-1194.0,-1827.0,-1992.0,-243.0,514.0,315.0,-65.0,-895.0,-89.0
114,1,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,4.0,527.0,-1530.0,433.0,187.0,-1331.0,-1001.0,-2181.0,-225.0,976.0,78.0,-896.0,-25.0,-363.0
115,1,ΠΑΝ. ΚΡΗΤΗΣ,4.0,-479.0,-1019.0,320.0,-106.0,-1520.0,-1968.0,-2047.0,171.0,422.0,440.0,-250.0,-174.0,-82.0
116,1,ΠΑΝ. ΚΡΗΤΗΣ,4.0,318.0,-948.0,347.0,-1.0,-1141.0,-1622.0,-1987.0,1778.0,-1403.0,300.0,-250.0,-125.0,-75.0
117,1,ΕΚΠΑ,1.0,143.0,-491.0,6.0,-30.0,20.0,-206.0,37.0,107.0,-207.0,175.0,-100.0,-150.0,0.0
119,1,ΑΠΘ,1.0,215.0,-557.0,-120.0,15.0,12.0,-141.0,1.0,-11.0,-664.0,490.0,-300.0,-60.0,-20.0
120,1,ΑΠΘ,3.0,39.0,-921.0,129.0,42.0,-674.0,-1415.0,-533.0,109.0,511.0,-1090.0,-470.0,-280.0,-240.0
121,1,ΔΠΘ,3.0,389.0,-757.0,-137.0,106.0,-50.0,-240.0,25.0,-202.0,-548.0,475.0,-325.0,75.0,-25.0
122,1,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,5.0,123.0,-730.0,412.0,309.0,-1049.0,-3521.0,-1148.0,157.0,812.0,312.0,-711.0,-40.0,-140.0
123,1,ΕΚΠΑ,3.0,393.0,-626.0,-11.0,140.0,161.0,-492.0,309.0,-1048.0,-907.0,250.0,-430.0,90.0,220.0
124,1/4,ΠΑΝΤΕΙΟ,4.0,394.0,-305.0,-2367.0,2168.0,615.0,-821.0,79.0,-989.0,-236.0,475.0,-500.0,-50.0,50.0
125,1,ΠΑΝΤΕΙΟ,4.0,348.0,-329.0,236.0,283.0,-140.0,-1040.0,343.0,-1785.0,-620.0,500.0,-470.0,110.0,170.0
126,1,ΠΑΝΤΕΙΟ,3.0,438.0,-799.0,238.0,275.0,39.0,-559.0,462.0,-93.0,-1212.0,690.0,-750.0,-400.0,-220.0
128,1/2/3/4,ΕΚΠΑ,2.0,251.0,-785.0,-1405.0,245.0,1144.0,-327.0,268.0,161.0,-411.0,475.0,-125.0,150.0,-300.0
129,1,ΑΠΘ,2.0,-295.0,-553.0,-332.0,121.0,44.0,-727.0,-237.0,-648.0,-1622.0,1780.0,-35.0,-400.0,-725.0
130,1/2/3/4,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,3.0,20.0,-6.0,-3181.0,1043.0,1799.0,-455.0,-87.0,543.0,-468.0,650.0,150.0,-25.0,-475.0
131,1,ΕΚΠΑ,3.0,2530.0,961.0,567.0,-1042.0,-1389.0,-2056.0,-1744.0,3515.0,815.0,790.0,-400.0,-140.0,710.0
132,1/2/3/4,ΠΑΝ. ΚΡΗΤΗΣ,4.0,299.0,-120.0,-3041.0,1075.0,1722.0,-758.0,-174.0,552.0,-727.0,675.0,275.0,-250.0,-500.0
133,1,ΑΠΘ,3.0,-1201.0,4078.0,2228.0,-5104.0,238.0,-1254.0,-200.0,5753.0,852.0,280.0,-195.0,-355.0,290.0
134,1/2/3/4,ΑΠΘ,3.0,165.0,-645.0,-2927.0,965.0,1558.0,-595.0,196.0,36.0,-686.0,550.0,0.0,-300.0,300.0
135,1,ΕΚΠΑ,2.0,-1886.0,-6271.0,4923.0,-1741.0,606.0,-21.0,-3628.0,4214.0,46.0,950.0,-40.0,-95.0,-55.0
136,1/2/3/4,ΠΑΝ. ΠΑΤΡΩΝ,3.0,-342.0,65.0,-3319.0,1419.0,1803.0,-938.0,-355.0,162.0,-67.0,520.0,160.0,-100.0,-240.0
137,1,ΑΠΘ,2.0,-5048.0,-5664.0,5933.0,-824.0,-481.0,292.0,-4227.0,3394.0,431.0,300.0,470.0,-940.0,720.0
