code,field,university,avg_pref_success,diff_20_19,diff_21_20,diff_22_21,diff_23_22,diff_24_23,diff_25_24,diff_26_25
97,4,ΔΠΘ,4.0,1295.0,-650.0,778.0,-812.0,-152.0,-68.0,-756.0
98,2/4,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,5.0,77.0,61.0,1364.0,-225.0,-225.0,125.0,850.0
99,2/4,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,5.0,470.0,-68.0,1143.0,850.0,-1425.0,-1875.0,-175.0
101,1,ΕΚΠΑ,5.0,-1393.0,893.0,997.0,110.0,60.0,-330.0,-260.0
102,1,ΠΑΝ. ΠΑΤΡΩΝ,5.0,-579.0,-408.0,703.0,-1300.0,1020.0,-580.0,-120.0
103,1,ΑΠΘ,5.0,-1540.0,1305.0,420.0,450.0,-400.0,-100.0,-75.0
104,1,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,4.0,-1557.0,870.0,-45.0,-415.0,-335.0,60.0,-60.0
105,1,ΕΚΠΑ,5.0,-1269.0,886.0,294.0,330.0,-510.0,110.0,-130.0
107,1,ΑΠΘ,5.0,-1518.0,1307.0,798.0,480.0,-135.0,-460.0,65.0
109,1,ΕΚΠΑ,3.0,-127.0,-1703.0,679.0,-514.0,-352.0,-1356.0,-144.0
110,1,ΕΚΠΑ,2.0,-156.0,-989.0,-1739.0,192.0,-656.0,-120.0,-178.0
111,1,ΑΠΘ,3.0,-906.0,-1030.0,1125.0,374.0,-2499.0,-368.0,1160.0
112,1,ΑΠΘ,3.0,-297.0,-876.0,51.0,500.0,-1550.0,-150.0,-1200.0
113,1,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,4.0,-1992.0,-243.0,514.0,315.0,-65.0,-895.0,-89.0
114,1,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,4.0,-2181.0,-225.0,976.0,78.0,-896.0,-25.0,-363.0
115,1,ΠΑΝ. ΚΡΗΤΗΣ,4.0,-2047.0,171.0,422.0,440.0,-250.0,-174.0,-82.0
116,1,ΠΑΝ. ΚΡΗΤΗΣ,4.0,-1987.0,1778.0,-1403.0,300.0,-250.0,-125.0,-75.0
117,1,ΕΚΠΑ,1.0,37.0,107.0,-207.0,175.0,-100.0,-150.0,0.0
119,1,ΑΠΘ,1.0,1.0,-11.0,-664.0,490.0,-300.0,-60.0,-20.0
120,1,ΑΠΘ,3.0,-533.0,109.0,511.0,-1090.0,-470.0,-280.0,-240.0
121,1,ΔΠΘ,3.0,25.0,-202.0,-548.0,475.0,-325.0,75.0,-25.0
